COUNT(I.INT_SEQ_NO),SUM(I.INT_PAYABLE_AMT),INT_SUM_INSURED,INT_DATE_LOSS,INT_PERIOD_TO,PAY_CAT_DESC,ANNUAL_TOTAL_PREMIUM,CUS_INDV_TITLE,blackList_status
1,14500.0,1200000,04-AUG-16,31-MAR-17,60 DAY CREDIT,23382.41,MR,1
1,25815.0,900000,01-JUL-20,04-JUN-21,60 DAY CREDIT,17254.77,MR,1
1,598750.0,5700000,27-JAN-20,07-MAY-20,60 DAY CREDIT,72997.85,MR,1
1,18500.0,7000000,11-MAR-21,28-AUG-21,60 DAY CREDIT,85952.54,MR,1
1,30500.0,5700000,06-JAN-20,07-MAY-20,60 DAY CREDIT,86284.69,MR,1
2,61000.0,5700000,06-JAN-20,07-MAY-20,60 DAY CREDIT,78824.61,MR,1
1,,800000,27-JUL-20,11-APR-21,DIRECT,9493.79,MR,1
1,80500.0,6750000,18-SEP-22,07-MAY-23,DIRECT,85203.61,MR,1
1,18500.0,5700000,29-JUL-20,07-MAY-21,DIRECT,78634.99,MR,1
1,238350.0,900000,08-OCT-21,04-JUN-22,DIRECT,10318.59,MR,1
1,238350.0,900000,08-OCT-21,04-JUN-22,DIRECT,15408.27,MR,1
1,238350.0,900000,08-OCT-21,04-JUN-22,60 DAY CREDIT,17254.77,MR,1
2,56040.0,650000,08-JUL-19,14-JUN-20,60 DAY CREDIT,12111.68,MR,1
1,30300.0,5700000,22-SEP-21,07-MAY-22,DIRECT,78634.99,MR,1
1,30300.0,5700000,22-SEP-21,07-MAY-22,60 DAY CREDIT,78634.99,MR,1
1,,7000000,25-FEB-22,28-AUG-22,60 DAY CREDIT,72557.37,MR,1
1,,7000000,25-FEB-22,28-AUG-22,DIRECT,85306.05,MR,1
1,28500.0,5700000,10-MAR-22,07-MAY-22,DIRECT,69341.43,MR,1
1,171212.5,3800000,30-AUG-19,15-FEB-20,DIRECT,68004.99,MR,1
